county,tract,total_commute,auto,bus,subway_rail,taxi,walk_other,total_drive,veh_occ
New York,025500,2734,0.095,0.545,0.008,0.0,0.352,261,1.0
New York,022200,1257,0.093,0.728,0.021,0.029,0.129,117,2.46
New York,001001,715,0.109,0.587,0.01,0.024,0.27,78,1.03
New York,000700,6515,0.017,0.622,0.019,0.018,0.324,113,1.0
New York,010300,1394,0.038,0.404,0.07,0.078,0.41,53,1.09
New York,003700,1532,0.067,0.501,0.013,0.084,0.335,103,1.13
New York,008601,2067,0.155,0.371,0.016,0.025,0.433,321,1.09
New York,008603,2321,0.093,0.287,0.0,0.093,0.527,217,1.07
New York,004400,8875,0.038,0.673,0.0,0.027,0.262,341,1.0
New York,008602,0,,,,,,0,
New York,017200,2090,0.044,0.746,0.024,0.034,0.152,92,1.0
New York,021303,2753,0.087,0.779,0.034,0.01,0.09,240,1.0
New York,021500,2043,0.091,0.701,0.043,0.011,0.154,185,1.46
New York,021703,11,0.0,0.545,0.0,0.0,0.455,0,
New York,022700,2577,0.025,0.847,0.064,0.034,0.03,64,1.0
New York,023100,4298,0.108,0.772,0.037,0.0,0.083,466,1.13
New York,023801,3030,0.068,0.861,0.004,0.037,0.03,205,1.02
New York,023802,2091,0.129,0.768,0.041,0.016,0.046,270,1.36
New York,024200,1801,0.09,0.775,0.047,0.01,0.078,162,1.05
New York,025700,2558,0.099,0.8,0.013,0.012,0.076,254,1.09
New York,025900,2174,0.113,0.767,0.0,0.046,0.074,246,1.12
New York,006600,7278,0.097,0.494,0.027,0.035,0.347,705,1.08
New York,006800,4563,0.041,0.535,0.005,0.029,0.39,185,1.02
New York,008200,2253,0.076,0.276,0.053,0.083,0.512,172,1.68
New York,008400,1141,0.02,0.474,0.051,0.035,0.42,23,2.0
New York,001600,2951,0.034,0.553,0.008,0.035,0.37,99,1.06
New York,002100,3728,0.053,0.613,0.013,0.024,0.297,198,1.1
New York,002800,3187,0.065,0.668,0.008,0.009,0.25,207,1.0
New York,001300,3097,0.054,0.575,0.034,0.005,0.332,166,1.5
New York,001402,1379,0.048,0.776,0.0,0.014,0.162,66,1.48
New York,002201,2796,0.132,0.691,0.004,0.022,0.151,368,1.61
New York,003001,2520,0.005,0.57,0.004,0.019,0.402,12,1.0
New York,003100,1235,0.036,0.51,0.022,0.02,0.412,45,1.1
New York,003400,3764,0.057,0.737,0.01,0.024,0.172,215,1.23
New York,029900,1151,0.201,0.731,0.006,0.022,0.04,231,1.2
New York,031703,2664,0.086,0.468,0.0,0.026,0.42,229,1.14
New York,019800,1160,0.077,0.787,0.0,0.054,0.082,89,1.29
New York,001200,1739,0.152,0.593,0.021,0.014,0.22,265,1.13
New York,001401,1533,0.106,0.569,0.0,0.007,0.318,162,1.24
New York,001501,3655,0.099,0.489,0.006,0.022,0.384,362,1.19
New York,004300,2152,0.04,0.697,0.035,0.024,0.204,87,1.0
New York,004900,2467,0.064,0.572,0.022,0.08,0.262,158,1.15
New York,003300,2624,0.068,0.543,0.035,0.083,0.271,178,1.14
New York,003602,1757,0.052,0.608,0.021,0.026,0.293,91,1.21
New York,004800,3661,0.034,0.577,0.009,0.019,0.361,124,1.07
New York,011800,5114,0.053,0.577,0.017,0.059,0.294,272,1.08
New York,015900,4837,0.117,0.648,0.036,0.026,0.173,565,1.15
New York,024500,7231,0.079,0.792,0.017,0.004,0.108,570,1.57
New York,002000,1174,0.079,0.702,0.011,0.037,0.171,93,1.09
New York,003900,3117,0.059,0.458,0.063,0.143,0.277,185,1.06
New York,000100,0,,,,,,0,
New York,004100,4950,0.068,0.548,0.003,0.006,0.375,336,1.25
New York,022600,2047,0.115,0.729,0.036,0.024,0.096,235,1.13
New York,026500,4282,0.114,0.795,0.004,0.01,0.077,488,1.17
New York,003800,5397,0.018,0.5,0.004,0.069,0.409,97,1.33
New York,005800,3070,0.035,0.529,0.05,0.039,0.347,107,1.35
New York,008800,4189,0.119,0.307,0.059,0.052,0.463,497,1.14
New York,012000,1374,0.119,0.408,0.016,0.097,0.36,163,1.03
New York,015500,5564,0.054,0.642,0.033,0.061,0.21,298,1.09
New York,016600,2959,0.049,0.762,0.012,0.01,0.167,145,1.06
New York,016700,3189,0.087,0.719,0.021,0.05,0.123,277,1.16
New York,018100,3764,0.05,0.788,0.02,0.04,0.102,189,1.06
New York,020901,1219,0.057,0.825,0.0,0.002,0.116,70,1.0
New York,022302,1387,0.03,0.857,0.0,0.024,0.089,41,1.0
New York,025300,6599,0.109,0.719,0.0,0.002,0.17,717,1.16
New York,004200,2432,0.075,0.481,0.042,0.038,0.364,183,1.09
New York,005700,1503,0.053,0.697,0.005,0.042,0.203,79,1.09
New York,008700,4760,0.071,0.584,0.003,0.017,0.325,336,1.23
New York,027100,4394,0.13,0.694,0.004,0.041,0.131,573,1.37
